# BEGIN DATA
Process=pp -> aj
Proc=aj
Sqrt=13 TeV
Unit=pb/GeV
Timestamp=2018-06-26 19:08:43
# END DATA

# BEGIN HISTO1D aj_pTV_LO
# xlow   xhigh   val   errminus  errplus
1.200000e+02 1.300000e+02 1.687094e+00 8.865751e-05 8.865751e-05
1.300000e+02 1.400000e+02 1.655412e+00 9.594224e-05 9.594224e-05
1.400000e+02 1.500000e+02 1.659988e+00 1.055603e-04 1.055603e-04
1.500000e+02 2.000000e+02 1.636364e+00 5.735431e-05 5.735431e-05
2.000000e+02 2.500000e+02 1.594926e+00 8.157048e-05 8.157048e-05
2.500000e+02 3.000000e+02 1.561370e+00 1.097329e-04 1.097329e-04
3.000000e+02 3.500000e+02 1.594768e+00 3.817327e-05 3.817327e-05
3.500000e+02 4.000000e+02 1.634795e+00 4.448267e-05 4.448267e-05
4.000000e+02 4.500000e+02 1.648880e+00 5.357246e-05 5.357246e-05
4.500000e+02 5.000000e+02 1.671743e+00 6.456232e-05 6.456232e-05
5.000000e+02 5.500000e+02 1.659448e+00 7.576260e-05 7.576260e-05
5.500000e+02 6.000000e+02 1.678112e+00 9.066635e-05 9.066635e-05
6.000000e+02 6.500000e+02 1.672448e+00 6.675223e-05 6.675223e-05
6.500000e+02 7.000000e+02 1.679273e+00 6.972526e-05 6.972526e-05
7.000000e+02 7.500000e+02 1.686967e+00 7.682940e-05 7.682940e-05
7.500000e+02 8.000000e+02 1.690476e+00 8.520034e-05 8.520034e-05
8.000000e+02 8.500000e+02 1.693287e+00 9.473151e-05 9.473151e-05
8.500000e+02 9.000000e+02 1.703613e+00 1.059593e-04 1.059593e-04
9.000000e+02 9.500000e+02 1.729317e+00 1.199507e-04 1.199507e-04
9.500000e+02 1.000000e+03 1.725682e+00 1.342989e-04 1.342989e-04
1.000000e+03 1.100000e+03 1.714629e+00 5.657377e-05 5.657377e-05
1.100000e+03 1.200000e+03 1.724740e+00 6.166490e-05 6.166490e-05
1.200000e+03 1.300000e+03 1.749150e+00 7.208082e-05 7.208082e-05
1.300000e+03 1.400000e+03 1.737545e+00 8.302227e-05 8.302227e-05
1.400000e+03 1.600000e+03 1.753740e+00 7.233016e-05 7.233016e-05
1.600000e+03 1.800000e+03 1.781417e+00 9.905201e-05 9.905201e-05
1.800000e+03 2.000000e+03 1.802934e+00 1.349869e-04 1.349869e-04
2.000000e+03 2.200000e+03 1.827212e+00 4.140763e-05 4.140763e-05
2.200000e+03 2.400000e+03 1.860338e+00 4.965020e-05 4.965020e-05
2.400000e+03 2.600000e+03 1.876464e+00 6.384244e-05 6.384244e-05
2.600000e+03 2.800000e+03 1.901262e+00 8.307392e-05 8.307392e-05
2.800000e+03 3.000000e+03 1.942352e+00 1.092796e-04 1.092796e-04
3.000000e+03 6.500000e+03 1.966697e+00 1.022550e-04 1.022550e-04
# END HISTO1D

# BEGIN HISTO1D aj_pTV_NNLO
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 4.247000e+03 4.873000e+01 4.873000e+01
4.000000e+01 5.000000e+01 1.400000e+03 1.522000e+01 1.522000e+01
5.000000e+01 6.000000e+01 5.733000e+02 6.310000e+00 6.310000e+00
6.000000e+01 7.000000e+01 2.683000e+02 3.408000e+00 3.408000e+00
7.000000e+01 8.000000e+01 1.399000e+02 1.233000e+00 1.233000e+00
8.000000e+01 9.000000e+01 8.002000e+01 6.034000e-01 6.034000e-01
9.000000e+01 1.000000e+02 4.717000e+01 3.898000e-01 3.898000e-01
1.000000e+02 1.100000e+02 3.002000e+01 2.158000e-01 2.158000e-01
1.100000e+02 1.200000e+02 1.950000e+01 1.521000e-01 1.521000e-01
1.200000e+02 1.300000e+02 1.303000e+01 1.094000e-01 1.094000e-01
1.300000e+02 1.400000e+02 8.936000e+00 7.539000e-02 7.539000e-02
1.400000e+02 1.500000e+02 6.418000e+00 6.333000e-02 6.333000e-02
1.500000e+02 2.000000e+02 2.820000e+00 1.297000e-02 1.297000e-02
2.000000e+02 2.500000e+02 7.765000e-01 3.738000e-03 3.738000e-03
2.500000e+02 3.000000e+02 2.720000e-01 1.316000e-03 1.316000e-03
3.000000e+02 3.500000e+02 1.154000e-01 5.200000e-04 5.200000e-04
3.500000e+02 4.000000e+02 5.482000e-02 3.226000e-04 3.226000e-04
4.000000e+02 4.500000e+02 2.783000e-02 1.340000e-04 1.340000e-04
4.500000e+02 5.000000e+02 1.512000e-02 8.449000e-05 8.449000e-05
5.000000e+02 5.500000e+02 8.483000e-03 3.363000e-05 3.363000e-05
5.500000e+02 6.000000e+02 5.037000e-03 2.381000e-05 2.381000e-05
6.000000e+02 6.500000e+02 3.054000e-03 1.403000e-05 1.403000e-05
6.500000e+02 7.000000e+02 1.918000e-03 9.395000e-06 9.395000e-06
7.000000e+02 7.500000e+02 1.236000e-03 7.043000e-06 7.043000e-06
